Chrome	r5.49Start	r5.49Stop	DistBetween	LengthGene1	LengthGene2
2L	4732413	4734458	30825	753	2045
2L	4734592	4794040	134	2045	59448
2L	4762937	4763951	0	59448	1014
2L	4794549	4796581	30598	1014	2032
2L	4796600	4801923	19	2032	5323
2L	4813009	4815891	11086	5323	2882
2L	4815613	4818245	0	2882	2632
2L	4821774	4828945	3529	2632	7171
2L	4829214	4830693	269	7171	1479
2L	4830846	4835300	153	1479	4454
2L	4835335	4837999	35	4454	2664
2L	4838347	4841465	348	2664	3118
2L	4841482	4847295	17	3118	5813
2L	4847766	4849499	471	5813	1733
2L	4849439	4850419	0	1733	980
2L	4850641	4852640	222	980	1999
2L	4852864	4876792	224	1999	23928
2L	4876891	4883107	99	23928	6216
2L	4883298	4885669	191	6216	2371
2L	4889995	4891277	4326	2371	1282
2L	4892112	4903889	835	1282	11777
2L	4903865	4906762	0	11777	2897
2L	4908581	4932302	1819	2897	23721
2L	4933047	4936450	745	23721	3403
2L	4937409	4941423	959	3403	4014
2L	4942742	4944305	1319	4014	1563
2L	4944256	4945361	0	1563	1105
2L	4945579	4948324	218	1105	2745
2L	4948206	4949784	0	2745	1578
2L	4949941	4950767	157	1578	826
2L	4952253	4953136	1486	826	883
2L	4954279	4955144	1143	883	865
2L	4955509	4958292	365	865	2783
2L	4958411	4965430	119	2783	7019
2L	4965673	4966399	243	7019	726
2L	4966367	4967775	0	726	1408
2L	4967832	4968935	57	1408	1103
2L	4969004	4970216	69	1103	1212
2L	4970135	4973852	0	1212	3717
2L	4971702	4973687	0	3717	1985
2L	4973976	4975316	289	1985	1340
2L	4975300	4977023	0	1340	1723
2L	4977312	4978567	289	1723	1255
2L	4978484	4979379	0	1255	895
2L	4979513	4981592	134	895	2079
2L	4981614	4992702	22	2079	11088
2L	4992808	5009720	106	11088	16912
2L	5009931	5010834	211	16912	903
2L	5010922	5012127	88	903	1205
2L	5012144	5028191	17	1205	16047
2L	5029609	5037279	1418	16047	7670
2L	5038053	5040818	774	7670	2765
2L	5038053	5040818	0	2765	2765
2L	5040648	5044712	0	2765	4064
2L	5047818	5050975	3106	4064	3157
2L	5051193	5053094	218	3157	1901
2L	5052843	5054575	0	1901	1732
2L	5054579	5055016	4	1732	437
2L	5055058	5056149	42	437	1091
2L	5055982	5058248	0	1091	2266
2L	5058404	5059790	156	2266	1386
2L	5060815	5070750	1025	1386	9935
2L	5070957	5072055	207	9935	1098
2L	5072170	5093592	115	1098	21422
2L	5094012	5095725	420	21422	1713
2L	5096227	5099294	502	1713	3067
2L	5099500	5100202	206	3067	702
2L	5100877	5207002	675	702	106125
2L	5207267	5209345	265	106125	2078
2L	5210461	5212445	1116	2078	1984
2L	5212395	5214730	0	1984	2335
2L	5215211	5216533	481	2335	1322
2L	5218255	5219055	1722	1322	800
2L	5218996	5271353	0	800	52357
2L	5242707	5244239	0	52357	1532
2L	5264001	5265899	19762	1532	1898
2L	5266392	5268455	493	1898	2063
2L	5268517	5270329	62	2063	1812
2L	5271728	5278558	1399	1812	6830
2L	5279051	5283002	493	6830	3951
2L	5299647	5310996	16645	3951	11349
2L	5311311	5314885	315	11349	3574
2L	5315426	5326683	541	3574	11257
2L	5327241	5327969	558	11257	728
2L	5327975	5328879	6	728	904
2L	5329857	5330464	978	904	607
2L	5330470	5338073	6	607	7603
2L	5339132	5342349	1059	7603	3217
2L	5342321	5365760	0	3217	23439
2L	5379095	5381074	13335	23439	1979
2L	5404342	5415928	23268	1979	11586
2L	5435582	5439277	19654	11586	3695
2L	5461641	5467610	22364	3695	5969
2L	5517619	5518949	50009	5969	1330
2L	5518893	5519889	0	1330	996
2L	5520135	5521382	246	996	1247
2L	5521281	5523877	0	1247	2596
2L	5524139	5525809	262	2596	1670
2L	5525905	5537108	96	1670	11203
2L	5526962	5527854	0	11203	892
2L	5528087	5530682	233	892	2595
2L	5530620	5532223	0	2595	1603
2L	5535861	5536758	3638	1603	897
2L	5536850	5539196	92	897	2346
2L	5539326	5542314	130	2346	2988
2L	5542544	5546642	230	2988	4098
2L	5547086	5549614	444	4098	2528
2L	5549709	5550835	95	2528	1126
2L	5551838	5552756	1003	1126	918
2L	5552843	5553850	87	918	1007
2L	5553897	5555137	47	1007	1240
2L	5555074	5558994	0	1240	3920
2L	5559342	5563502	348	3920	4160
2L	5579580	5581116	16078	4160	1536
2L	5587149	5588414	6033	1536	1265
2L	5596833	5598636	8419	1265	1803
2L	5602958	5617747	4322	1803	14789
2L	5621602	5623760	3855	14789	2158
2L	5621602	5623760	0	2158	2158
2L	5626291	5658553	2531	2158	32262
2L	5662849	5670838	4296	32262	7989
2L	5678638	5679223	7800	7989	585
2L	5708449	5713648	29226	585	5199
2L	5715441	5716650	1793	5199	1209
2L	5716819	5718067	169	1209	1248
2L	5718121	5720899	54	1248	2778
2L	5721051	5723791	152	2778	2740
2L	5724656	5762420	865	2740	37764
2L	5726415	5728811	0	37764	2396
2L	5733675	5741244	4864	2396	7569
2L	5746157	5747961	4913	7569	1804
2L	5762553	5766142	14592	1804	3589
2L	5766994	5800173	852	3589	33179
2L	5769752	5771537	0	33179	1785
2L	5784031	5784893	12494	1785	862
2L	5800517	5801975	15624	862	1458
2L	5802220	5804030	245	1458	1810
2L	5805395	5808858	1365	1810	3463
2L	5817890	5818393	9032	3463	503
2L	5824794	5856767	6401	503	31973
2L	5859762	5879481	2995	31973	19719
2L	5886016	5886609	6535	19719	593
2L	5892298	5892862	5689	593	564
2L	5892883	5893896	21	564	1013
2L	5903359	5904674	9463	1013	1315
2L	5907169	5922776	2495	1315	15607
2L	5908927	5910289	0	15607	1362
2L	5922876	5923653	12587	1362	777
2L	5925937	5939261	2284	777	13324
2L	5942623	5943263	3362	13324	640
2L	5943643	5948843	380	640	5200
2L	5949450	5955235	607	5200	5785
2L	5955312	5956466	77	5785	1154
2L	5956489	5956819	23	1154	330
2L	5957004	5957628	185	330	624
2L	5958005	5958631	377	624	626
2L	5959596	5960340	965	626	744
2L	5963087	5964951	2747	744	1864
2L	5965391	5967752	440	1864	2361
2L	5968566	5969761	814	2361	1195
2L	5969871	5971025	110	1195	1154
2L	5972115	5981018	1090	1154	8903
2L	5981764	5985793	746	8903	4029
2L	5986348	5988854	555	4029	2506
2L	5989463	5999501	609	2506	10038
2L	6000228	6003738	727	10038	3510
2L	6003574	6006827	0	3510	3253
2L	6007364	6012338	537	3253	4974
2L	6013057	6019398	719	4974	6341
2L	6020850	6021672	1452	6341	822
2L	6022951	6024545	1279	822	1594
2L	6025870	6034423	1325	1594	8553
2L	6034796	6036937	373	8553	2141
2L	6036997	6037902	60	2141	905
2L	6038161	6041283	259	905	3122
2L	6041178	6045970	0	3122	4792
2L	6046646	6048702	676	4792	2056
2L	6047999	6050474	0	2056	2475
2L	6050829	6053498	355	2475	2669
2L	6054307	6060169	809	2669	5862
2L	6060835	6062757	666	5862	1922
2L	6063018	6063676	261	1922	658
2L	6063562	6065949	0	658	2387
2L	6066186	6067635	237	2387	1449
2L	6067668	6068635	33	1449	967
2L	6069079	6069838	444	967	759
2L	6069790	6070646	0	759	856
2L	6070990	6073961	344	856	2971
2L	6078453	6079736	4492	2971	1283
2L	6081808	6096498	2072	1283	14690
2L	6096698	6098966	200	14690	2268
2L	6100377	6124653	1411	2268	24276
2L	6118512	6120522	0	24276	2010
2L	6125132	6125911	4610	2010	779
2L	6125879	6127653	0	779	1774
2L	6127872	6130651	219	1774	2779
2L	6127872	6130651	0	2779	2779
2L	6131023	6132484	372	2779	1461
2L	6139461	6145011	6977	1461	5550
2L	6151971	6153701	6960	5550	1730
2L	6153840	6155088	139	1730	1248
2L	6160444	6161082	5356	1248	638
2L	6179133	6211114	18051	638	31981
2L	6225050	6226842	13936	31981	1792
2L	6253123	6322251	26281	1792	69128
2L	6255859	6256715	0	69128	856
2L	6263557	6264490	6842	856	933
